ERS12091943	Chiropotes_albinasus
ERS12092001	Chiropotes_albinasus
ERS12091944	Chiropotes_albinasus
ERS12091947	Chiropotes_israelita
ERS12091948	Chiropotes_israelita
ERS12091949	Chiropotes_israelita
ERS12091952	Chiropotes_sagulatus
ERS12091953	Chiropotes_sagulatus
ERS12091972	Plecturocebus_bernhardi
ERS12091973	Plecturocebus_bernhardi
ERS12091975	Plecturocebus_brunneus
ERS12091977	Plecturocebus_caligatus
ERS12091978	Plecturocebus_caligatus
ERS12091980	Plecturocebus_cinerascens
ERS12091987	Plecturocebus_dubius
ERS12091988	Plecturocebus_dubius
ERS12091992	Plecturocebus_moloch
ERS12091969	Chiropotes_albinasus
ERS12091993	Saguinus_bicolor
ERS12091955	Leontocebus_fuscicollis
ERS12091996	Saguinus_labiatus
ERS12091997	Saguinus_midas
ERS12091998	Saguinus_midas
ERS12091999	Saguinus_mystax
ERS12091956	Leontocebus_fuscicollis
ERS12092002	Saimiri_cassiquiarensis
ERS12092003	Saimiri_cassiquiarensis
ERS12092004	Saimiri_cassiquiarensis
ERS12092005	Saimiri_cassiquiarensis
ERS12092006	Saimiri_cassiquiarensis
ERS12092007	Saimiri_cassiquiarensis
ERS12092008	Saimiri_cassiquiarensis
ERS12092009	Saimiri_cassiquiarensis
ERS12092011	Saimiri_macrodon
ERS12092012	Saimiri_macrodon
ERS12092018	Saimiri_ustus
ERS12092015	Saimiri_sciureus
ERS12092016	Saimiri_sciureus
ERS12092019	Saimiri_ustus
ERS12092020	Saimiri_ustus
ERS12092021	Saimiri_ustus
ERS12092022	Saimiri_ustus
ERS12092023	Saimiri_ustus
ERS12092024	Saimiri_ustus
ERS12092013	Saimiri_macrodon
ERS12092010	Saimiri_cassiquiarensis
ERS12092025	Saimiri_ustus
ERS12092026	Saimiri_ustus
ERS12092027	Sapajus_apella
ERS12092028	Sapajus_apella
ERS12092031	Sapajus_macrocephalus
ERS12092032	Sapajus_macrocephalus
ERS12092029	Sapajus_apella
ERS12092033	Sapajus_macrocephalus
ERS12092034	Sapajus_macrocephalus
ERS12092035	Sapajus_macrocephalus
ERS12092036	Sapajus_macrocephalus
ERS12092037	Sapajus_macrocephalus
ERS12092038	Sapajus_macrocephalus
ERS12092039	Sapajus_macrocephalus
ERS12092040	Sapajus_macrocephalus
ERS12092041	Sapajus_macrocephalus
ERS14600379	Papio_papio
ERS14600380	Papio_papio
ERS14600381	Papio_papio
ERS14600382	Papio_papio
ERS14600383	Papio_papio
ERS14600384	Papio_papio
ERS14600385	Papio_papio
ERS14600386	Papio_papio
ERS14600387	Papio_papio
ERS14600388	Papio_papio
ERS14600389	Papio_papio
ERS14600390	Papio_papio
ERS12091920	Cebus_albifrons
ERS14600391	Tarsius_lariang
ERS14600392	Tarsius_lariang
ERS14600393	Tarsius_wallacei
ERS14600394	Cercopithecus_ascanius
ERS14600395	Cercopithecus_neglectus
ERS14600396	Cercocebus_torquatus
ERS12091945	Chiropotes_albinasus
ERS14600397	Cercopithecus_ascanius
ERS14600398	Leontopithecus_rosalia
ERS12091861	Alouatta_seniculus
ERS12091862	Alouatta_seniculus
ERS12091863	Alouatta_seniculus
ERS12091847	Alouatta_nigerrima
ERS12091844	Alouatta_macconnelli
ERS12091845	Alouatta_macconnelli
ERS12091864	Alouatta_seniculus
ERS12091851	Alouatta_puruensis
ERS12091839	Alouatta_juara
ERS12091840	Alouatta_juara
ERS12091865	Alouatta_seniculus
ERS12091866	Alouatta_seniculus
ERS12091867	Alouatta_seniculus
